Orden estándar;RunOrder;"
bloques";"
Estampación";Cati-coat;Minor Diameter;Pitch Diameter;Insert Type;Material;Move1
84;1;1;New;Yes;0.171;H5;heliwire;SS347;5
24;2;1;Old;No;0.178;H5;heliwire;SS347;5
45;3;1;Old;Yes;0.178;H5;helicoil;Inco718;90
13;4;1;Old;No;0.178;H2;10digit;Inco718;0
40;5;1;Old;Yes;0.178;H2;helicoil;SS347;55
58;6;1;New;No;0.171;H5;helicoil;SS347;25
68;7;1;New;No;0.178;H5;10digit;SS347;5
61;8;1;New;No;0.178;H2;10digit;Inco718;5
59;9;1;New;No;0.171;H5;heliwire;Inco718;40
48;10;1;Old;Yes;0.178;H5;heliwire;SS347;10
20;11;1;Old;No;0.178;H5;10digit;SS347;5
16;12;1;Old;No;0.178;H2;helicoil;SS347;15
53;13;1;New;No;0.171;H2;heliwire;Inco718;85
41;14;1;Old;Yes;0.178;H2;heliwire;Inco718;80
1;15;1;Old;No;0.171;H2;10digit;Inco718;540
60;16;1;New;No;0.171;H5;heliwire;SS347;10
23;17;1;Old;No;0.178;H5;heliwire;Inco718;5
94;18;1;New;Yes;0.178;H5;helicoil;SS347;10
35;19;1;Old;Yes;0.171;H5;heliwire;Inco718;50
85;20;1;New;Yes;0.178;H2;10digit;Inco718;100
7;21;1;Old;No;0.171;H5;10digit;Inco718;180
5;22;1;Old;No;0.171;H2;heliwire;Inco718;360
95;23;1;New;Yes;0.178;H5;heliwire;Inco718;30
46;24;1;Old;Yes;0.178;H5;helicoil;SS347;5
63;25;1;New;No;0.178;H2;helicoil;Inco718;5
11;26;1;Old;No;0.171;H5;heliwire;Inco718;35
81;27;1;New;Yes;0.171;H5;helicoil;Inco718;0
74;28;1;New;Yes;0.171;H2;10digit;SS347;110
83;29;1;New;Yes;0.171;H5;heliwire;Inco718;95
26;30;1;Old;Yes;0.171;H2;10digit;SS347;95
67;31;1;New;No;0.178;H5;10digit;Inco718;20
42;32;1;Old;Yes;0.178;H2;heliwire;SS347;30
44;33;1;Old;Yes;0.178;H5;10digit;SS347;45
96;34;1;New;Yes;0.178;H5;heliwire;SS347;5
6;35;1;Old;No;0.171;H2;heliwire;SS347;5
17;36;1;Old;No;0.178;H2;heliwire;Inco718;115
38;37;1;Old;Yes;0.178;H2;10digit;SS347;150
31;38;1;Old;Yes;0.171;H5;10digit;Inco718;115
92;39;1;New;Yes;0.178;H5;10digit;SS347;30
49;40;1;New;No;0.171;H2;10digit;Inco718;420
89;41;1;New;Yes;0.178;H2;heliwire;Inco718;120
55;42;1;New;No;0.171;H5;10digit;Inco718;5
8;43;1;Old;No;0.171;H5;10digit;SS347;345
79;44;1;New;Yes;0.171;H5;10digit;Inco718;315
29;45;1;Old;Yes;0.171;H2;heliwire;Inco718;55
50;46;1;New;No;0.171;H2;10digit;SS347;5
82;47;1;New;Yes;0.171;H5;helicoil;SS347;30
66;48;1;New;No;0.178;H2;heliwire;SS347;20
19;49;1;Old;No;0.178;H5;10digit;Inco718;0
47;50;1;Old;Yes;0.178;H5;heliwire;Inco718;220
71;51;1;New;No;0.178;H5;heliwire;Inco718;55
27;52;1;Old;Yes;0.171;H2;helicoil;Inco718;270
22;53;1;Old;No;0.178;H5;helicoil;SS347;5
32;54;1;Old;Yes;0.171;H5;10digit;SS347;60
64;55;1;New;No;0.178;H2;helicoil;SS347;100
90;56;1;New;Yes;0.178;H2;heliwire;SS347;95
65;57;1;New;No;0.178;H2;heliwire;Inco718;40
52;58;1;New;No;0.171;H2;helicoil;SS347;75
73;59;1;New;Yes;0.171;H2;10digit;Inco718;115
18;60;1;Old;No;0.178;H2;heliwire;SS347;20
86;61;1;New;Yes;0.178;H2;10digit;SS347;20
57;62;1;New;No;0.171;H5;helicoil;Inco718;20
54;63;1;New;No;0.171;H2;heliwire;SS347;20
70;64;1;New;No;0.178;H5;helicoil;SS347;35
93;65;1;New;Yes;0.178;H5;helicoil;Inco718;50
43;66;1;Old;Yes;0.178;H5;10digit;Inco718;40
21;67;1;Old;No;0.178;H5;helicoil;Inco718;15
9;68;1;Old;No;0.171;H5;helicoil;Inco718;140
78;69;1;New;Yes;0.171;H2;heliwire;SS347;45
28;70;1;Old;Yes;0.171;H2;helicoil;SS347;180
75;71;1;New;Yes;0.171;H2;helicoil;Inco718;45
87;72;1;New;Yes;0.178;H2;helicoil;Inco718;40
14;73;1;Old;No;0.178;H2;10digit;SS347;40
56;74;1;New;No;0.171;H5;10digit;SS347;0
33;75;1;Old;Yes;0.171;H5;helicoil;Inco718;115
77;76;1;New;Yes;0.171;H2;heliwire;Inco718;75
30;77;1;Old;Yes;0.171;H2;heliwire;SS347;10
15;78;1;Old;No;0.178;H2;helicoil;Inco718;5
10;79;1;Old;No;0.171;H5;helicoil;SS347;15
91;80;1;New;Yes;0.178;H5;10digit;Inco718;10
62;81;1;New;No;0.178;H2;10digit;SS347;10
80;82;1;New;Yes;0.171;H5;10digit;SS347;20
25;83;1;Old;Yes;0.171;H2;10digit;Inco718;210
4;84;1;Old;No;0.171;H2;helicoil;SS347;25
88;85;1;New;Yes;0.178;H2;helicoil;SS347;45
12;86;1;Old;No;0.171;H5;heliwire;SS347;15
69;87;1;New;No;0.178;H5;helicoil;Inco718;5
39;88;1;Old;Yes;0.178;H2;helicoil;Inco718;25
3;89;1;Old;No;0.171;H2;helicoil;Inco718;165
72;90;1;New;No;0.178;H5;heliwire;SS347;10
37;91;1;Old;Yes;0.178;H2;10digit;Inco718;50
36;92;1;Old;Yes;0.171;H5;heliwire;SS347;25
2;93;1;Old;No;0.171;H2;10digit;SS347;55
76;94;1;New;Yes;0.171;H2;helicoil;SS347;15
34;95;1;Old;Yes;0.171;H5;helicoil;SS347;30
51;96;1;New;No;0.171;H2;helicoil;Inco718;150
